slug,section,index,interwencja,suggestedZone,confidence,alternatives,previousZone,finalZone
zaburzenia-droznosci-drog-oddechowych,7.1,0,"Monitorowanie: parametrów życiowych, SpO2, liczby i charakteru oddechów, CTK, tętna, EKG, a także zabarwienia powłok skórnych, błon śluzowych, dystalnych części ciała.",klatka-piersiowa,high,,klatka-piersiowa,klatka-piersiowa
zaburzenia-droznosci-drog-oddechowych,7.1,1,"Pomiar PEF (szczytowego przepływu wydechowego), FEV1 (natężonej objętości wydechowej pierwszosekundowej).",,none,,,
zaburzenia-droznosci-drog-oddechowych,7.1,2,Osłuchiwanie płuc.,klatka-piersiowa,high,,klatka-piersiowa,klatka-piersiowa
zaburzenia-droznosci-drog-oddechowych,7.1,3,Pobieranie krwi tętniczej do badania gazometrycznego.,konczyny-gorne,high,,skora,konczyny-gorne
zaburzenia-droznosci-drog-oddechowych,7.1,4,"Pobieranie krwi żylnej do badań biochemicznych (np. białko C-reaktywne, IgG, IgA, IgM, IgE), wykonanie punktowych testów skórnych.",konczyny-gorne,high,,skora,konczyny-gorne
zaburzenia-droznosci-drog-oddechowych,7.1,5,"Udział w badaniach obrazowych (rentgen klatki piersiowej, tomografia komputerowa, badanie echokardiograficzne).",klatka-piersiowa,high,,klatka-piersiowa,klatka-piersiowa
zaburzenia-droznosci-drog-oddechowych,7.1,6,"Udział w diagnostyce dodatkowej: pobieranie plwociny indukowanej, bronchoskopia.",,none,,skora,
zaburzenia-droznosci-drog-oddechowych,7.1,7,"Ocena stanu świadomości, nasilenia duszności i napięcia psychomotorycznego.",klatka-piersiowa,medium,,klatka-piersiowa,klatka-piersiowa
zaburzenia-droznosci-drog-oddechowych,7.1,8,"Pomoc w przyjęciu najdogodniejszej pozycji ciała oraz udział w rehabilitacji oddechowej (np. oddychanie przez zasznurowane usta, oddychanie przeponowe).",,none,,,
zaburzenia-droznosci-drog-oddechowych,7.1,9,"Prowadzenie farmakoterapii i płynoterapii: doustne/wziewne glikokortykosteroidy, leki biologiczne (na zlecenie lekarza).",,none,,,
zaburzenia-droznosci-drog-oddechowych,7.1,10,"Ocena nasilenia objawów, reakcji pacjentki na zastosowane leczenie oraz skutków ubocznych NIV.",,none,,,
zaburzenia-droznosci-drog-oddechowych,7.1,11,Nawilżenie mieszaniny oddechowej przez maskę w przypadku wysychania błon śluzowych lub trudnej do odkrztuszenia wydzieliny.,usta-drogi-oddechowe,medium,,usta-drogi-oddechowe,usta-drogi-oddechowe
zaburzenia-droznosci-drog-oddechowych,7.1,12,"Przy braku poprawy w leczeniu ocena szczelności dopasowania maski i sprawności portu wydechowego: ocena synchronizacji oddechów własnych chorej z pracą respiratora; zastosowanie usprawniania układu oddechowego (np. drenaż ułożeniowy, oklepywanie, ćwiczenia oddechowe); udział w farmakoterapii (np. leki rozkurczające oskrzela, uspokajające).",klatka-piersiowa,medium,,klatka-piersiowa,klatka-piersiowa
zaburzenia-droznosci-drog-oddechowych,7.1,13,"W przypadku nieskuteczności powyższego leczenia asystowanie podczas intubacji dotchawiczej: przygotowanie zestawu do intubacji (laryngoskop z łyżką zakrzywioną lub prostą oraz czynnym źródłem światła, żel z lignokainą, rurki intubacyjne różnych rozmiarów, strzykawka do wypełnienia balonu uszczelniającego rurkę, cewnik do odsysania wraz z czynnym źródłem ssania, taśmy do ufiksowania rurki); przygotowanie pacjentki do zabiegu (monitorowanie EKG, akcji serca, tętna, CTK, etCO2, saturacji, napływu kapilarnego; na zlecenie lekarza przygotowanie i podanie leków anestetycznych, opioidowych, zwiotczających; ułożenie płaskie z uniesieniem głowy powyżej poziomu tułowia ok. 10 cm i odgięciem do tyłu – tzw. pozycja wąchania); po zabiegu ocena lokalizacji rurki intubacyjnej.",cale-cialo,low,usta-drogi-oddechowe:11 klatka-piersiowa:7 miednica:6,usta-drogi-oddechowe,cale-cialo
nieefektywne-oczyszczanie-drog-oddechowych,7.2,0,Uniesienie tułowia pacjenta w pozycji semi-Fowlera pod kątem 30-450 po konsultacji z lekarzem w celu wykluczenia przeciwwskazań.,,none,,,
